,X,Season_playerid,PA,X1B,X2B,HR,R,RBI,BB,IBB,SO,GDP,SB,CS,AVG,BB.,K.,BB.K,OBP,SLG,ISO,BABIP,wRC,WAR,Spd,wRC.,WPA,SAC
50,50,2001 _ 432,1.339982709,-1.226363423,2.79038229,2.456472665,2.618937728,2.473373155,1.409282032,1.493281069,-0.195093833,-0.005163481,-0.406393771,0.155610131,2.145263613,14.10%,14.90%,0.341766744,2.345520504,3.341730777,3.035942326,1.232347159,3.507715222,1.998559571,-0.358144322,1.934577059,1.98633395,-0.619395199
51,51,1996 _ 114,1.058588547,-1.348534874,0.364663576,1.97445645,1.985789459,1.586318646,3.399609354,2.266781261,0.761989726,-0.430161832,0.234978095,-0.713382384,1.347636701,21.00%,9.70%,2.830247038,3.249596134,2.520176305,2.409283814,-0.289279431,3.250768335,1.712851822,-0.297033071,2.928226636,2.777985736,-0.585167922
52,52,1979 _ 1007872,0.284754604,-0.499571464,1.950235316,2.01310694,2.49772449,2.106407516,1.156850009,-0.290296317,0.215726822,0.667703226,-0.728603507,0.71760767,2.036496307,13.20%,12.70%,0.547426273,2.098954423,2.695261684,2.296806646,1.005721922,2.437103194,2.712828942,-0.847034334,2.491020822,2.020541126,-0.696075948
53,53,2000 _ 1109,0.073708983,-2.041606595,0.143797308,3.064533429,3.590086457,1.514089509,2.910343904,3.233490197,0.218618485,1.216954698,-0.025134247,0.472414249,1.057590551,19.30%,12.70%,1.534592009,2.564690354,3.382135095,3.550123669,-0.904405074,2.565576637,2.236649361,0.741858206,2.491020822,2.460347674,-0.225880657
54,54,1995 _ 1000802,0.411381977,-1.96438306,3.206959863,2.977872353,2.71866709,2.203921316,0.692173281,-0.113821617,0.219922914,-2.155409847,-0.506399271,0.72411935,1.456404007,11.60%,12.70%,0.280068886,1.496237336,3.409071307,3.437646501,-0.19215433,2.6512256,2.046177529,-0.297033071,2.451274839,1.658922409,-0.924803586
55,55,1953 _ 1011208,1.213355336,0.566019453,-0.437447396,2.001383651,1.68580029,2.508800204,0.918335168,NA,1.27495871,-0.907273507,-0.331600506,-0.270458805,2.145263613,12.40%,7.00%,2.04874083,2.071558192,2.372027138,1.879034304,0.390596279,2.865348005,2.950918732,-0.235921819,2.650004754,NA,NA
56,56,1970 _ 1002025,-0.587567296,1.907856311,-0.283172777,0.959685644,0.965916398,1.671799882,1.319976402,0.215988603,1.04595924,-1.663479898,-0.796075113,0.667062045,3.232936676,13.80%,8.20%,1.843081302,2.948237591,1.981452062,0.931012453,2.171223141,1.751911496,1.808087739,-1.152590592,2.451274839,NA,-1.056971077
57,57,2013 _ 1744,0.706845846,0.705394201,-0.383993349,2.292164383,1.300669519,2.491367958,1.335428091,2.393973884,-0.101847921,-1.089946063,-0.663204908,1.174148794,2.580332838,13.80%,14.40%,0.38289865,2.619482816,2.681793578,2.055784141,1.847472802,2.694050081,2.712828942,-0.908145586,3.2461945,2.807306173,-1.365136005
58,58,1970 _ 1014326,1.339982709,0.030628564,-0.237963895,1.703221883,2.197402234,0.735208459,2.648204059,0.984544383,0.813753649,0.338592652,0.676927615,-1.474051731,1.891473232,18.40%,9.50%,2.398362029,2.893445128,2.08919691,1.654079967,0.552471449,3.03664593,2.855682816,-0.358144322,2.689750737,NA,-1.39179076
59,59,1997 _ 255,0.664636722,0.303719273,0.802406005,1.501400709,1.784032077,2.00900635,2.196477944,0.588686098,0.598623939,-0.367722916,-0.807631641,0.95537485,2.54407707,16.80%,10.60%,1.657987726,3.003030053,2.345090926,1.670148134,1.458972396,2.779699043,2.046177529,-1.580369353,2.689750737,2.939248137,-0.326325235
60,60,1967 _ 1014326,1.100797671,-0.183060074,0.098182532,2.130063993,1.5831648,1.6052784,1.214151812,0.861599684,0.688311429,1.520254359,-0.186344114,-0.496254614,1.782705926,13.40%,10.10%,1.123272953,1.961973267,2.493240093,2.16826131,0.293471178,2.694050081,3.903277894,-0.113699316,3.285940483,NA,-0.590430365
61,61,1993 _ 1093,1.086727963,0.341414742,2.963787444,0.417358331,1.40789898,1.044780501,2.194844963,4.694051504,0.794555753,0.283915682,-0.880346877,0.755932919,3.12416937,16.80%,9.60%,2.007608925,3.468765984,2.183473653,1.220239458,2.462598445,2.993821449,2.474739152,-1.213701844,2.689750737,2.338179189,-0.390463525
62,62,2004 _ 432,1.143006796,-0.361891569,2.306378967,1.088563362,1.737160595,0.575921038,2.714412923,2.237640555,0.615280379,0.296315177,-0.673060547,1.174148794,2.54407707,18.60%,10.50%,2.028174878,3.359181059,2.466303881,1.798693469,1.717972667,3.207943854,1.950941613,-0.602589328,2.173052957,2.064521781,-0.59564658
63,63,1976 _ 1009179,-0.038848681,-0.645083322,0.477716716,0.98490204,2.588074051,1.808140673,2.840281787,0.528181813,1.299385046,2.001132747,3.846750404,-0.959171085,1.565171313,19.00%,6.80%,4.125902068,2.674275279,1.873707213,1.541602798,-0.030279161,1.794735977,3.141390565,1.902971985,2.888480653,2.768212258,0.91830381
